afnan,أفنان
aida,عايدة
alaa,ألاء
aliaa,علياء
amira,أميرة
ashgaan,أشجان
ashgan,أشجان
asmaa,أسماء
aya,أية
basant,بسنت
basma,بسمة
bassant,بسنت
dalya,داليا
diana,ديانا
dina,دينا
doaa,دعاء
donya,دنيا
ebtihal,ابتهال
ebtisam,ابتسام
eman,إيمان
esraa,إسراء
fatma,فاطمة
ghada,غادة
ghadeer,غدير
haidy,هايدي
hind,هند
hoda,هدي
ibtisam,ابتسام
iman,إيمان
khadeeja,خديجة
khadega,خديجة
khlood,خلود
lamiaa,لمياء
lamia,لمياء
maha,مها
marwa,مروة
may,مي
mennah,منة
mennatullah,منة
menna,منة
mona,مني
sarah,سارة
sara,سارة
shereen,شيرين
silvia,ﺲﻴﻠﻔﻳﺍ
soha,سهي
